Month,nvidia: (United States),NASDAQ:NVDA: (United States),Nvidia: (United States)
2004-01-01 00:00:00+00:00,86.0,1.0,89.0
2004-02-01 00:00:00+00:00,75.0,1.0,83.0
2004-03-01 00:00:00+00:00,79.0,1.0,85.0
2004-04-01 00:00:00+00:00,73.0,1.0,87.0
2004-05-01 00:00:00+00:00,80.0,1.0,81.0
2004-06-01 00:00:00+00:00,77.0,1.0,74.0
2004-07-01 00:00:00+00:00,100.0,1.0,89.0
2004-08-01 00:00:00+00:00,89.0,1.0,93.0
2004-09-01 00:00:00+00:00,84.0,1.0,92.0
2004-10-01 00:00:00+00:00,79.0,1.0,82.0
2004-11-01 00:00:00+00:00,86.0,1.0,93.0
2004-12-01 00:00:00+00:00,92.0,1.0,100.0
2005-01-01 00:00:00+00:00,83.0,1.0,91.0
2005-02-01 00:00:00+00:00,69.0,1.0,79.0
2005-03-01 00:00:00+00:00,66.0,1.0,74.0
2005-04-01 00:00:00+00:00,65.0,1.0,63.0
2005-05-01 00:00:00+00:00,67.0,1.0,67.0
2005-06-01 00:00:00+00:00,77.0,1.0,88.0
2005-07-01 00:00:00+00:00,78.0,1.0,86.0
2005-08-01 00:00:00+00:00,73.0,1.0,80.0
2005-09-01 00:00:00+00:00,65.0,1.0,71.0
2005-10-01 00:00:00+00:00,78.0,1.0,79.0
2005-11-01 00:00:00+00:00,70.0,1.0,83.0
2005-12-01 00:00:00+00:00,87.0,1.0,93.0
2006-01-01 00:00:00+00:00,78.0,1.0,93.0
2006-02-01 00:00:00+00:00,67.0,1.0,78.0
2006-03-01 00:00:00+00:00,73.0,2.0,82.0
2006-04-01 00:00:00+00:00,70.0,1.0,80.0
2006-05-01 00:00:00+00:00,64.0,2.0,69.0
2006-06-01 00:00:00+00:00,71.0,1.0,79.0
2006-07-01 00:00:00+00:00,75.0,2.0,81.0
2006-08-01 00:00:00+00:00,73.0,2.0,81.0
2006-09-01 00:00:00+00:00,71.0,1.0,79.0
2006-10-01 00:00:00+00:00,72.0,2.0,78.0
2006-11-01 00:00:00+00:00,81.0,2.0,88.0
2006-12-01 00:00:00+00:00,82.0,1.0,90.0
2007-01-01 00:00:00+00:00,79.0,1.0,87.0
2007-02-01 00:00:00+00:00,85.0,2.0,92.0
2007-03-01 00:00:00+00:00,79.0,1.0,79.0
2007-04-01 00:00:00+00:00,73.0,1.0,79.0
2007-05-01 00:00:00+00:00,72.0,1.0,77.0
2007-06-01 00:00:00+00:00,77.0,2.0,78.0
2007-07-01 00:00:00+00:00,85.0,1.0,87.0
2007-08-01 00:00:00+00:00,82.0,2.0,89.0
2007-09-01 00:00:00+00:00,75.0,2.0,81.0
2007-10-01 00:00:00+00:00,74.0,2.0,81.0
2007-11-01 00:00:00+00:00,81.0,2.0,89.0
2007-12-01 00:00:00+00:00,84.0,1.0,94.0
2008-01-01 00:00:00+00:00,78.0,2.0,87.0
2008-02-01 00:00:00+00:00,75.0,2.0,82.0
2008-03-01 00:00:00+00:00,70.0,2.0,74.0
2008-04-01 00:00:00+00:00,64.0,2.0,71.0
2008-05-01 00:00:00+00:00,71.0,2.0,79.0
2008-06-01 00:00:00+00:00,75.0,2.0,78.0
2008-07-01 00:00:00+00:00,69.0,3.0,76.0
2008-08-01 00:00:00+00:00,70.0,2.0,78.0
2008-09-01 00:00:00+00:00,66.0,2.0,70.0
2008-10-01 00:00:00+00:00,67.0,2.0,70.0
2008-11-01 00:00:00+00:00,70.0,2.0,76.0
2008-12-01 00:00:00+00:00,74.0,1.0,80.0
2009-01-01 00:00:00+00:00,75.0,1.0,83.0
2009-02-01 00:00:00+00:00,67.0,1.0,73.0
2009-03-01 00:00:00+00:00,61.0,1.0,65.0
2009-04-01 00:00:00+00:00,65.0,1.0,64.0
2009-05-01 00:00:00+00:00,61.0,1.0,64.0
2009-06-01 00:00:00+00:00,63.0,1.0,66.0
2009-07-01 00:00:00+00:00,65.0,1.0,66.0
2009-08-01 00:00:00+00:00,65.0,1.0,71.0
2009-09-01 00:00:00+00:00,59.0,1.0,64.0
2009-10-01 00:00:00+00:00,65.0,1.0,69.0
2009-11-01 00:00:00+00:00,71.0,1.0,75.0
2009-12-01 00:00:00+00:00,68.0,1.0,72.0
2010-01-01 00:00:00+00:00,66.0,1.0,75.0
2010-02-01 00:00:00+00:00,60.0,1.0,66.0
2010-03-01 00:00:00+00:00,66.0,1.0,69.0
2010-04-01 00:00:00+00:00,52.0,1.0,55.0
2010-05-01 00:00:00+00:00,54.0,1.0,57.0
2010-06-01 00:00:00+00:00,52.0,1.0,54.0
2010-07-01 00:00:00+00:00,51.0,1.0,54.0
2010-08-01 00:00:00+00:00,49.0,1.0,54.0
2010-09-01 00:00:00+00:00,45.0,1.0,47.0
2010-10-01 00:00:00+00:00,47.0,1.0,50.0
2010-11-01 00:00:00+00:00,45.0,1.0,49.0
2010-12-01 00:00:00+00:00,46.0,1.0,48.0
