Model,Parameters,Return on Investment,
Base Strategy,242 months | 0.02,-5.945121228946528,
Model v1,Forward-Backward Algorithm | 242 months | 0.02,1240.5514194605169,
Model v1,Viterbi Algorithm | 242 months | 0.02,-38.95558021490001,
Model v1,Null Model | 242 months | 0.02,38.95558021489999,
Base Strategy,242 months | 0.05,-5.945121228946528,
Model v2,Forward-Backward Algorithm | 242 months | 0.05,5.945121228946528,
Model v2,Viterbi Algorithm | 242 months | 0.05,-5.945121228946528,
Model v2,Null Model | 242 months | 0.05,38.95558021489999,
Base Strategy,242 months | 0.1,-5.945121228946528,
Model v3,Forward-Backward Algorithm | 242 months | 0.1,-5.945121228946528,
Model v3,Viterbi Algorithm | 242 months | 0.1,-5.945121228946528,
Model v3,Null Model | 242 months | 0.1,38.95558021489999,
Base Strategy,122 months | 0.02,-13.353778686732403,
Model v4,Forward-Backward Algorithm | 122 months | 0.02,-979.4803092143778,
Model v4,Viterbi Algorithm | 122 months | 0.02,-42.386345294791,
Model v4,Null Model | 122 months | 0.02,42.38634529479093,
Base Strategy,122 months | 0.05,-13.353778686732403,
Model v5,Forward-Backward Algorithm | 122 months | 0.05,13.353778686732403,
Model v5,Viterbi Algorithm | 122 months | 0.05,13.353778686732403,
Model v5,Null Model | 122 months | 0.05,42.38634529479093,
Base Strategy,122 months | 0.1,-13.353778686732403,
Model v6,Forward-Backward Algorithm | 122 months | 0.1,0.22953429807710107,
Model v6,Viterbi Algorithm | 122 months | 0.1,-49.44602897684276,
Model v6,Null Model | 122 months | 0.1,42.38634529479093,
Base Strategy,62 months | 0.04,-16.621427971616846,
Model v7,Forward-Backward Algorithm | 62 months | 0.04,590.336656075701,
Model v7,Viterbi Algorithm | 62 months | 0.04,27.743134441811822,
Model v7,Null Model | 62 months | 0.04,44.364562413428644,
Base Strategy,62 months | 0.07,-16.621427971616846,
Model v8,Forward-Backward Algorithm | 62 months | 0.07,16.621427971616846,
Model v8,Viterbi Algorithm | 62 months | 0.07,16.621427971616846,
Model v8,Null Model | 62 months | 0.07,44.364562413428644,
